"","Proposal Number","Category","PI Name","Type","Time (ks)","Title"
"","17500571","SN, SNR AND ISOLATED NS","Paul Sell","TOO","30","The Origin of Calcium-Rich Gap Transients"
"","17500562","SN, SNR AND ISOLATED NS","Eleonora Troja","TOO","50","IDENTIFY THE SIGNATURE OF NEUTRON STAR MERGERS THROUGH RAPID CHANDRA/HUBBLE OBSERVATIONS OF A SHORT GRB"
"","17500499","SN, SNR AND ISOLATED NS","Brian Williams","LP","400","N103B: A Type Ia Remnant with Circumstellar Interaction... Kepler's Older Cousin?"
"","17500487","SN, SNR AND ISOLATED NS","Victoria Kaspi","TOO","2520","Target-of-Oppurtunity Chandra Observations of Magnetars in Outburst"
"","17500417","SN, SNR AND ISOLATED NS","Stephen Reynolds","GO","150","A Search for Expansion and Brightness Changes in the Young Supernova Remnant/Pulsar-Wind Nebula G310.6-1.6"
"","17500393","SN, SNR AND ISOLATED NS","Daniel Patnaude","GO","50","Continued Multicycle Monitoring of the Young Galactic Supernova Remnant Cassiopeia A"
"","17500385","SN, SNR AND ISOLATED NS","Patrick Kavanagh","GO","90","The origin of gamma-ray emission from 30 Dor C: The first TeV superbubble"
"","17500367","SN, SNR AND ISOLATED NS","Andrea Tiengo","TOO","70","Measuring magnetar distance from the dust echo of a bright burst"
"","17500214","SN, SNR AND ISOLATED NS","Sangwook Park","GO","150","A Chandra HETGS Observation of Kepler's Supernova Remnant"
"","17500209","SN, SNR AND ISOLATED NS","Roger Romani","GO","180","PSR J2124-3358: A Unique, Isolated MSP/PWN/Bowshock"
"","17500197","SN, SNR AND ISOLATED NS","David Burrows","GO","140","CHANDRA CYCLE 17 SPATIAL AND SPECTRAL MONITORING OF SN 1987A"
"","17500193","SN, SNR AND ISOLATED NS","Tea Temim","GO","175","Chandra Observation of the Composite SNR MSH 15-56"
"","17500165","SN, SNR AND ISOLATED NS","Katja Poppenhaeger","GO","35","Is Fomalhaut b an exoplanet or a neutron star?"
"","17500163","SN, SNR AND ISOLATED NS","David Pooley","TOO","30","Chandra Observations of New X-ray Supernovae"
"","17500142","SN, SNR AND ISOLATED NS","Raffaella Margutti","GO","120","The unprecedented metamorphosis of SN2014C: from a H-stripped explosion to a strongly interacting supernova"
"","17500134","SN, SNR AND ISOLATED NS","Raffaella Margutti","TOO","60","Probing the Energetics and Environments of Hydrogen-poor Core-Collapse SNe"
"","17500103","SN, SNR AND ISOLATED NS","Raffaella Margutti","TOO","80","Source of energy and pre-explosion progenitor evolution of Super-Luminous SNe"
"","17500057","SN, SNR AND ISOLATED NS","Christopher Kochanek","GO","60","Confirming the Birth of a New Black Hole"
"","17500017","SN, SNR AND ISOLATED NS","Satoru Katsuda","GO","20","Kinematics and Emission Processes at the Prominent Shock-Cloud Interaction Site in Puppis~A"
"","17500014","SN, SNR AND ISOLATED NS","Edo Berger","TOO","40","Rapid Observations of Short-Duration Gamma-Ray Bursts: Accurate Positions Hold the Key to the Progenitor Population"
"","17400727","BH AND NS BINARIES","Claude Canizares","GTO/TOO","300","Chandra HETGS Follow-up of a Gravitational Wave Detection"
"","17400704","BH AND NS BINARIES","Jeroen Homan","GO","100","Late-time cooling of the neutron star crust in the super-Eddington accretor XTE J1701-462"
"","17400688","BH AND NS BINARIES","Jay Strader","GO","140","X-ray Observations of New Gamma-Ray Bright Galactic Compact Binaries"
"","17400660","BH AND NS BINARIES","Dacheng Lin","GO","78","Chandra Observation of a Hyperluminous Intermediate-mass Black Hole Candidate"
"","17400648","BH AND NS BINARIES","Laura Chomiuk","GO","60","Black Hole Accretion at the Lowest Luminosities Revealed by the Stellar-Mass Black Hole GS 2000+25"
"","17400630","BH AND NS BINARIES","Dominic Walton","TOO","100","Broadband X-ray Observations of a High-State from the HLX M82 X-1"
"","17400623","BH AND NS BINARIES","Gabriele Ponti","TOO","270","TESTING THE THERMAL ORIGIN OF WINDS IN SHORT PERIOD X-RAY BINARIES"
"","17400584","BH AND NS BINARIES","Mark Reynolds","TOO","30","Accretion Disk Winds in the Presence of a Neutron Star with a 1e12 G Magnetic Field"
"","17400581","BH AND NS BINARIES","Herman Marshall","TOO","10","Chandra Localization of a Gravitational Wave Detection"
"","17400518","BH AND NS BINARIES","Deepto Chakrabarty","TOO","150","Narrow Lines from a Slowly Rotating Neutron Star"
"","17400517","BH AND NS BINARIES","Joseph Neilsen","TOO","75","The Baryon Connection: X-ray States and Heavy Jets in 4U 1630-47?"
"","17400472","BH AND NS BINARIES","Laura Chomiuk","GO","128","The Black Hole Population in Galactic Globular Clusters"
"","17400453","BH AND NS BINARIES","Jeff Andrews","GO","22","The Massive Companions to Low-Mass White Dwarfs"
"","17400401","BH AND NS BINARIES","Alessandro Papitto","TOO","3485","Hunting for transitional ms pulsars with Chandra"
"","17400283","BH AND NS BINARIES","Stephane CORBEL","TOO","150","X-Ray Jets in Microquasars"
"","17400281","BH AND NS BINARIES","Joseph Neilsen","TOO","120","An Integrated Approach to Winds, Jets, and State Transitions"
"","17400247","BH AND NS BINARIES","Ashley King","TOO","160","FOLLOWING THE ULTRA-FAST WINDS IN STELLAR-MASS BLACK HOLE, IGR J17091-3624"
"","17400245","BH AND NS BINARIES","Jay Strader","GO","50","A candidate transitional millisecond pulsar with a giant secondary"
"","17400218","BH AND NS BINARIES","Slavko Bogdanov","GO","20","Joint Chandra/VLA Observations of PSR J1023+0038: A Unique Testbed for Accretion and Jet Formation Physics"
"","17400173","BH AND NS BINARIES","Rudy Wijnands","TOO","150","Crust cooling of accretion-heated neutron stars"
"","17400172","BH AND NS BINARIES","Deepto Chakrabarty","TOO","4","Precise Localization of Transient Low-Mass X-ray Binaries"
"","17400148","BH AND NS BINARIES","Matthew Middleton","TOO","5","Obtaining an accurate position for a new radio-bright ULX in M31"
"","17400144","BH AND NS BINARIES","Nathalie Degenaar","GO","135","Probing the physics of neutron stars using Terzan 5"
"","17400120","BH AND NS BINARIES","Jean in 't Zand","TOO","85","Search for absorption edges in superexpansion bursts"
"","17400116","BH AND NS BINARIES","Elena Gallo","TOO","135","Following a black hole X-ray transient through the transition into quiescence"
"","17400107","BH AND NS BINARIES","David Pooley","TOO","30","Transient LMXBs in Globular Clusters"
"","17400074","BH AND NS BINARIES","Jules Halpern","GO","30","Identifying Fermi Sources as Transitional Millisecond Pulsar Binaries"
"","17400030","BH AND NS BINARIES","Ada Paizis","TOO","40","INVESTIGATING NEW INTEGRAL SOURCES WITH CHANDRA"
"","17300743","WD BINARIES AND CV","Koji Mukai","GO","130","Photoionized Features and the Soft Component in Intermediate Polars"
"","17300653","WD BINARIES AND CV","Q. Daniel Wang","GO","100","X-raying the Galactic center/bulge interface"
"","17300595","WD BINARIES AND CV","Thomas Nelson","GO","150","Locating the shocks in nova remnants"
"","17200709","STARS AND WD","David Principe","GO","200","Heating the Primordial Soup: X-raying the Circumstellar Disk of RY Lupi"
"","17200708","STARS AND WD","Hans Guenther","TOO","50","What are the dust properties around young stars?"
"","17200636","STARS AND WD","Peter Williams","GO","101.74","Understanding the Rotation/Activity Relation: A New Low-Mass, Extreme-Spin Sample"
"","17200524","STARS AND WD","Christian Schneider","GO","60","X-rays reveal a new, hot jet component: The case of Sz 102"
"","17200497","STARS AND WD","David Pooley","TOO","105","Catching an FUor in the Act: Chandra ToO Observations of Extreme Accretion onto Young Stars"
"","17200441","STARS AND WD","Swetlana Hubrig","GO","25","Using Chandra to explore new physics of magnetic A-type stars: KQ Vel and its mysterious companion"
"","17200412","STARS AND WD","Eric Gotthelf","GO","10","Disentangling the gamma-ray emission towards Cygnus X: Sh2-104"
"","17200403","STARS AND WD","Michael Kuhn","GO","80","Formation of the W40 Cluster at the Heart of the Aquila Star-Forming Region"
"","17200368","STARS AND WD","Emma Whelan","GO","50","THE X-RAY EMISSION FROM THE HIGHLY IONISED ESO-HA 574 JET"
"","17200363","STARS AND WD","Nancy Evans","GO","20","Multiplicity in Massive Stars: Tightening the Limits"
"","17200344","STARS AND WD","David Huenemoerder","LP","500","Using high resolution x-ray spectra to probe accretion, abundances, and coronal activity in the young cluster IC 348"
"","17200318","STARS AND WD","Peter Williams","GO","40","A Search for X-ray Emission from the First Magnetically Active T Dwarf"
"","17200180","STARS AND WD","Hans Guenther","GO","90","How hot can flares from young stars be?"
"","17200177","STARS AND WD","Thomas Ayres","GO","60","Procyon: A New Candidate for the Dynamo Clinical Trial"
"","17200166","STARS AND WD","Stephen Skinner","GO","84","Testing Colliding Wind Shock Models in the Eclipsing Wolf-Rayet Binary CQ Cep"
"","17200159","STARS AND WD","Katja Poppenhaeger","GO","40","Creating a gold-standard sample of ages and activity for old cool stars"
"","17200115","STARS AND WD","Maurice Leutenegger","LP","315","A PROBE OF THE HYBRID COLLIDING WIND AND CENTRIFUGAL-MAGNETOSPHERIC X-RAY EMISSION OF PLASKETT'S STAR"
"","17200112","STARS AND WD","Beate Stelzer","GO","90","The rotation/activity relation of M dwarfs"
"","17200077","STARS AND WD","Thomas Ayres","GO","20","The High-Energy Environs of the Anomalous Coronal Source Alpha Persei"
"","17200042","STARS AND WD","Frederick Walter","GO","14","Phase-variable X-ray Emission in the Eccentric O9.5V Binary Sigma Orionis"
"","17200035","STARS AND WD","Leisa Townsley","LP","450","Into the Maelstrom of W43"
"","17200016","STARS AND WD","Brian Wood","GO","90","Can Planets Affect Coronal Abundances?"
"","17100354","SOLAR SYSTEM","Randy Gladstone","GO","288","Disecting the Morphology of Jupiter's Auroral Hot Spot"
"","Proposal Number","Category","PI Name","Type","Time (ks)","Title"
