Category,PI Name,Proposal Number,Time,Title,Year
NORMAL STARS AND WD,ERIC FEIGELSON,03200381,30.0,STAR FORMATION IN QUIESCENT GIANT MOLECULAR CLOUDS,2003
NORMAL STARS AND WD,THOMAS AYRES,03200497,40.0,BURIED ALIVE IN THE CORONAL GRAVEYARD?!,2003
NORMAL STARS AND WD,SCOTT WOLK,03200546,100.0,HIGH ENERGY EMISSION FROM THE YOUNG MASSIVE CLUSTER RCW 38,2003
NORMAL STARS AND WD,MANUEL GUEDEL,03200558,90.0,DENSITY STRATIFICATION OF THE VERY HOT CORONA OF YY MENSAE,2003
NORMAL STARS AND WD,NANCY BRICKHOUSE,03200561,100.0,HEAVY ION TRANSPORT: MULTI-TEMPERATURE ABUNDANCE STUDIES OF THEACTIVE RS CVN LAMBDA AND,2003
NORMAL STARS AND WD,NANCY BRICKHOUSE,03200569,100.0,X-RAY DOPPLER IMAGING OF CONTACT BINARIES: THE PARTIALLYECLIPSING VW CEP,2003
NORMAL STARS AND WD,SCOTT WOLK,03200598,100.0,X-RAYS FROM BROWN DWARFS IN THE SIGMA ORIONIS CLUSTER,2003
NORMAL STARS AND WD,BRADFORD WARGELIN,03200602,60.0,STELLAR WINDS FROM DME STARS,2003
NORMAL STARS AND WD,PHILIPPE ANDRE',03200661,53.0,X-RAY EVOLUTION OF ACCRETING PROTOSTARS,2003
NORMAL STARS AND WD,THOMAS AYRES,03200663,133.52,A TALE OF TWO G STARS,2003
NORMAL STARS AND WD,ANDREW SZENTGYORGYI,03200659,40.0,A CHANDRA STUDY OF THE PLANETARY NEBULA NGC 246,2003
NORMAL STARS AND WD,JEONGHEE RHO,03200672,60.0,"STAR FORMATION AND MYSTERIOUS HARD X-RAY EMISSION IN THE VERYYOUNG HII REGION, TRIFID NEBULA",2003
NORMAL STARS AND WD,MARC GAGNE,03200677,100.0,PHASE-RESOLVED SPECTROSCOPY OF THETA-1 ORIONIS C (O7 V),2003
NORMAL STARS AND WD,STEPHEN SKINNER,03200678,95.0,RESOLVING THE MASSIVE OB CORE OF THE YOUNG CLUSTER NGC 6193,2003
NORMAL STARS AND WD,ALEXANDER BROWN,03200698,50.0,CORONAL DYNAMICS AND THE COMPLETE FLARE ENERGY BUDGET FOR THE MDWARF FLARE STAR AD LEO,2003
NORMAL STARS AND WD,WAYNE WALDRON,03200704,92.0,CHANDRA HETGS OBSERVATIONS OF THE RAPIDLY ROTATING OE STAR ZETAOPH,2003
NORMAL STARS AND WD,JOSEPH CASSINELLI,03200743,70.0,OBSERVING FAST AND MASSIVE HOT STAR WINDS IN THE CYG OB2ASSOCIATION,2003
NORMAL STARS AND WD,YU-ICHIRO EZOE,03200765,80.0,TRACING THE CHRONICLE OF MASSIVE YOUNG STARS IN A GIANTMOLECULAR CLOUD NGC 6334,2003
NORMAL STARS AND WD,DAVID COHEN,03200773,90.0,HIGH-RESOLUTION X-RAY SPECTROSCOPY OF BETA CRUCIS: A NEARBY HOTSTAR WITH A HIGH X-RAY COUNT RATE,2003
NORMAL STARS AND WD,RAGHVENDRA SAHAI,03200776,80.0,INVESTIGATING COLLIDING WINDS AND MAGNETISED STARS IN YOUNGPLANETARY NEBULAE IMAGED WITH HST,2003
NORMAL STARS AND WD,KATSUJI KOYAMA,03200352,70.0,STUDY OF THE X-RAY EMISSION MECHANISM AND ITS EVOLUTION OF BROWNDWARFS,2003
NORMAL STARS AND WD,RAGHVENDRA SAHAI,03200753,50.0,PROBING WIND-WIND INTERACTIONS AND STELLAR MAGNETIC FIELDS INPRE-PLANETARY NEBULAE,2003
NORMAL STARS AND WD,THIERRY MONTMERLE,03200591,30.0,X-RAY INDUCED CHEMISTRY IN PROTOSTARS,2003
NORMAL STARS AND WD,MICHAEL CORCORAN,04200312,500.0,UNVEILING ETA CAR: CHANDRA OBSERVATIONS DURING THE 2003.5 EVENT,2003
WD BINARIES AND CV,WILLIAM WELSH,03300018,50.0,"FLARES, MAGNETIC RECONNECTIONS AND ACCRETION DISK VISCOSITY",2003
WD BINARIES AND CV,STEPHEN MURRAY,03300064,60.0,RESOLVING THE COMPACT BINARIES IN NGC 6397,2003
WD BINARIES AND CV,JOHN RAYMOND,03300181,100.0,BOUNDARY LAYERS AND HOT FLOWS IN QUIESCENT DWARF NOVAE,2003
WD BINARIES AND CV,PAULA SZKODY,03300197,50.0,ACCRETION IN HIGH DENSITY AND TEMPERATURE CONDITIONS (V426 OPH),2003
WD BINARIES AND CV,SUMNER STARRFIELD,03300263,55.0,MULTIWAVELENGTH TARGET OF OPPORTUNITY OBSERVATIONS OF A BRIGHTNOVA IN OUTBURST,2003
WD BINARIES AND CV,ANDREW BEARDMORE,03300412,100.0,THE HIGH RESOLUTION X-RAY SPECTRUM OF AM HERCULIS: PROBING THEACCRETION PROCESS,2003
WD BINARIES AND CV,WALTER LEWIN,03300437,132.0,A UNIFORM STUDY OF GLOBULAR CLUSTER XRAY SOURCES: THE KEYS TOCLUSTER DYNAMICAL EVOLUTION,2003
WD BINARIES AND CV,HALDAN COHN,03300823,50.0,RESOLVING THE COMPACT BINARY DISTRIBUTION IN THE CENTRAL HALFARCMIN OF THE COLLAPSED-CORE GLOBULAR CLUSTER M30,2003
WD BINARIES AND CV,PETER WHEATLEY,03300829,75.0,CHANDRA GRATING SPECTROSCOPY OF DWARF NOVAE,2003
WD BINARIES AND CV,SUMNER STARRFIELD,03300850,50.0,MULTIWAVELENGTH OBSERVATIONS OF V1494 AQL IN OUTBURST,2003
WD BINARIES AND CV,WERNER BECKER,03300300,39.99,MULTIWAVELENGTH STUDY OF THE GLOBULAR CLUSTER M28 (NGC~6626),2003
WD BINARIES AND CV,SUMNER STARRFIELD,03308072,30.0,TOO OBSERVATIONS OF THE RECURRENT NOVA IM NORMAE IN OUTBURST,2003
WD BINARIES AND CV,CHRISTOPHER MAUCHE,03308083,70.0,CHANDRA HETG SPECTROSCOPY OF GK PER IN OUTBURST,2003
BH AND NS BINARIES,JOEL BREGMAN,03400017,3.0,ULTRALUMINOUS X-RAY SOURCES AND INTERMEDIATE MASS BLACK HOLES,2003
BH AND NS BINARIES,BRYAN GAENSLER,03400284,21.0,UNTWISTING THE TORNADO,2003
BH AND NS BINARIES,RUDY WIJNANDS,03400295,20.0,CHANDRA OBSERVATIONS OF LONG-DURATION TRANSIENTS AND PERSISTENTLOW-MASS X-RAY BINARIES IN QUIESCENCE,2003
BH AND NS BINARIES,MARK FINGER,03400303,50.0,OBSERVATIONS OF THE TRANSIENT X-RAY PULSAR 2S 1845-024,2003
BH AND NS BINARIES,STEFANIE WACHTER,03400316,1.0,LOCATING THE ELUSIVE COUNTERPART OF THE UNUSUAL X-RAY DIPPERX1624-490,2003
BH AND NS BINARIES,MICHIEL VAN DER KLIS,03400384,3375.3,THE FAINTEST 'FIELD' LOW-MASS X-RAY BINARIES,2003
BH AND NS BINARIES,WALTER LEWIN,03400337,75.0,RESOLVING GALACTIC BLACK HOLE ACCRETION GEOMETRY WITH CHANDRA,2003
BH AND NS BINARIES,DANIEL SCOTT,03400454,80.0,HIGH RESOLUTION SPECTROSCOPY OF HERCULES X-1,2003
BH AND NS BINARIES,PATRICK SLANE,03400510,7.0,AN ULTRALUMINOUS BINARY IN A HORSESHOE NEBULA?,2003
BH AND NS BINARIES,PATRICK COTE,03400562,128.0,THE EXTRAORDINARY GLOBULAR CLUSTER SYSTEM OF M87: THE VIEW FROMCHANDRA,2003
BH AND NS BINARIES,YOSHIHIRO UEDA,03400564,30.0,RESOLVING IRON K-ABSORPTION LINE FEATURES IN THE X-RAY SPECTRAOF THE LOW MASS X-RAY BINARY GX 13+1,2003
BH AND NS BINARIES,JOHN TOMSICK,03400614,20.0,THE HIGH LATITUDE NEUTRON STAR X-RAY TRANSIENT XTE J2123-058,2003
BH AND NS BINARIES,WEI CUI,03400623,60.0,OUTFLOWS FROM X-RAY PULSARS IN THE PROPELLER STATE,2003
BH AND NS BINARIES,JULIA LEE,03400626,140.0,ACIS-HETG OBSERVATIONS OF MICROQUASAR XTE J1748-288,2003
BH AND NS BINARIES,WILLIAM HEINDL,03400636,7081.94,MONITORING THE MORPHOLOGY OF THE MICRO-QUASARS GRS 1758-258 AND1E 1740.7-2942,2003
BH AND NS BINARIES,WALTER LEWIN,03400642,10.0,A CHANDRA STUDY OF NEARBY PERSISTENT MICROQUASAR LS 5039,2003
BH AND NS BINARIES,JOHN TOMSICK,03400646,40.0,BLACK HOLE X-RAY TRANSIENTS DURING OUTBURST DECAY,2003
BH AND NS BINARIES,JOHN TOMSICK,03400757,40.0,LOCALIZING THE HIGH LATITUDE X-RAY TRANSIENT 4U 0042+32,2003
BH AND NS BINARIES,MASAO SAKO,03400827,160.0,PROBING THE CIRCUMSTELLAR MATERIAL IN GX 301-2,2003
BH AND NS BINARIES,JONATHAN GRINDLAY,03400837,296.0,COMPLETE COMPACT OBJECT AND BINARY SURVEY OF 47TUC,2003
BH AND NS BINARIES,RICHARD ROTHSCHILD,03400840,70.0,MEASURING THE ABSOLUTE DISTANCE TO THE BURSTER GS 1826-238,2003
BH AND NS BINARIES,SHUANG ZHANG,03400841,20.0,PHASE RESOLVED HIGH ENERGY RESOLUTION SPECTROSCOPY OF THE BLACKHOLE X-RAY BAINARY CYGNUS X-1,2003
BH AND NS BINARIES,DUNCAN GALLOWAY,03400937,30.0,WIND ACCRETION IN LOW-MASS X-RAY BINARIES,2003
BH AND NS BINARIES,DEEPTO CHAKRABARTY,03400979,60.0,RESOLVING THE SOFT EXCESS IN 4U 1850-087,2003
BH AND NS BINARIES,TIZIANA DI SALVO,03400860,30.0,STUDY OF THE IRON LINE AND LOW ENERGY FEATURES IN 4U 1728-34WITH CHANDRA/HETGS,2003
BH AND NS BINARIES,CHARLES HAILEY,03400921,50.0,SPECTRAL SIGNATURES OF A PRECESSING ACCRETION DISK IN HER X-1,2003
BH AND NS BINARIES,WILLIAM HEINDL,03400987,30.0,A SEARCH FO EMISSION LINES IN THE MICRO-QUASAR GRS 1758-258,2003
BH AND NS BINARIES,STEPHEN MURRAY,03401009,52.0,MULTIWAVELENGTH OBSERVATIONS OF THE BLACK HOLE XTE J1118+480 INQUIESCENCE,2003
BH AND NS BINARIES,MARIANO MENDEZ,03400483,40.0,``QPO-FOLDED'' SPECTROSCOPIC STUDY OF 3 LOW-MASS X-RAY BINARIESAND DIPPING SOURCES,2003
BH AND NS BINARIES,STEPHANE CORBEL,03408078,30.0,IMAGING THE JET/ISM INTERACTIONS AROUND THE BLACK HOLEXTEJ1550-564,2003
BH AND NS BINARIES,PETER JONKER,03408085,88.48,A FAINT NEUTRON STAR SOFT X-RAY TRANSIENT RETURNING TOQUIESCENCE,2003
BH AND NS BINARIES,RUDY WIJNANDS,04400362,120.0,MONITORING TWO QUASI-PERSISTENT X-RAY BINARIES IN QUIESCENCE,2003
BH AND NS BINARIES,JOHN TOMSICK,04400385,50.0,A SEARCH FOR X-RAY JETS IN QUIESCENT MICROQUASARS,2003
BH AND NS BINARIES,STEPHANE CORBEL,04400460,50.0,JET INTERACTIONS AROUND THE BLACK HOLE XTE J1550-564,2003
BH AND NS BINARIES,MICHAEL RUPEN,03408089,1.0,AN ACCURATE POSITION FOR THE BLACK HOLE CANDIDATE XTE J1908+094,2003
BH AND NS BINARIES,ROBERT RUTLEDGE,03408090,49.0,VARIABLE THERMAL EMISSION AND FEATURE FROM AQL X-1 IN QUIESCENCE,2003
BH AND NS BINARIES,CRAIG MARKWARDT,03408093,3.0,OBSERVATIONS OF THE NEWLY DISCOVERED MILLISECOND ACCRETINGPULSAR XTE J1751-305,2003
BH AND NS BINARIES,DEEPTO CHAKRABARTY,03408100,20.0,SPECTROSCOPY OF THE HIGH-LATITUDE ACCRETING MILLISECOND PULSARXTE J0929-314,2003
BH AND NS BINARIES,WILLIAM HEINDL,03408104,3496.4,THE LOW/SOFT STATE IN THE MICROQUASAR 1E1740.7-2942,2003
BH AND NS BINARIES,STEPHANE CORBEL,03408105,20.0,FURTHER IMAGING OF THE JETS OF THE BLACK HOLE XTEJ1550-564,2003
BH AND NS BINARIES,CHRISTOPHER REYNOLDS,03408111,30.0,AN ACIS LOOK AT MACHO-99-BLG-22:AN INTERMEDIATE MASS BLACK HOLEON OUR DOORSTEP?,2003
BH AND NS BINARIES,YUXIN FENG,03408113,30.0,OBSERVATION OF CYG X-1 IN THE HIGH STATE WITH HETG/CHANDRA,2003
BH AND NS BINARIES,MICHAEL RUPEN,03408114,5.0,V4641 SGR DURING OUTBURST: FAST JETS & VARIABLE CORE,2003
BH AND NS BINARIES,YOUSAF BUTT,03408116,5.0,"INVESTIGATION OF THE UNIQUE UNIDENTIFIED TEV SOURCE, TEVJ2032+4130, IN CYG OB2",2003
"SN, SNR AND ISOLATED NS",SHRINIVAS KULKARNI,03500014,55.0,GAMMA-RAY BURST PROGENITORS: PROBING THEIR ENVIRONMENT,2003
" SN, SNR AND ISOLATED NS",PETER PREDEHL,03500025,65.0,AN X-RAY STUDY OF THE CENTER-FILLED SNR MSH11-61A AND ITSNEUTRON STAR CANDIDATE RX J1102.9-6054,2003
"SN, SNR AND ISOLATED NS",STEPHEN MURRAY,03500072,30.0,A SEARCH FOR PULSATIONS FROM THE CENTRAL CORE OF G21.5-0.9,2003
"SN, SNR AND ISOLATED NS",STEPHEN MURRAY,03500076,25.0,MEASUREMENT OF P-DOT IN 3C58,2003
"SN, SNR AND ISOLATED NS",GORDON GARMIRE,03500096,31.5,QUIESCENT RADIATION FROM MAGNETARS,2003
"SN, SNR AND ISOLATED NS",GORDON GARMIRE,03500098,50.0,SNR 0103-72.6 : AN UNUSUALLY BRIGHT REMNANT IN THE SMC ALTERNATETARGET,2003
"SN, SNR AND ISOLATED NS",GORDON GARMIRE,03500136,50.0,ACIS OBSERVATIONS OF THE CENTRAL OBJECT IN RCW103,2003
"SN, SNR AND ISOLATED NS",JOHN HUGHES,03500137,40.0,CHANDRA TOO OBSERVATIONS OF TYPE IA SUPERNOVAE,2003
"SN, SNR AND ISOLATED NS",JOHN HUGHES,03500138,40.0,SNR 0506-68.0: A REMNANT TRANSITIONING FROM THE EJECTA-DOMINATEDTO THE SEDOV PHASE OF EVOLUTION,2003
"SN, SNR AND ISOLATED NS",CARA RAKOWSKI,03500143,50.7,YOUNG EJECTA-DOMINATED GALACTIC SUPERNOVA REMNANTS,2003
"SN, SNR AND ISOLATED NS",JULES HALPERN,03500193,30.0,THE NEXT GEMINGA: A NEUTRON STAR IDENTIFICATION FOR THE EGRETSOURCE 3EG J1835+5918,2003
"SN, SNR AND ISOLATED NS",SHRINIVAS KULKARNI,03500195,29.16,IS THE NEARBY ISOLATED NEUTRON STAR RX J0720.4-3125 A MAGNETAR?,2003
"SN, SNR AND ISOLATED NS",Q. DANIEL WANG,03500236,15.0,NGC5471B: A HYPERNOVA REMNANT CANDIDATE IN M101,2003
"SN, SNR AND ISOLATED NS",BRYAN GAENSLER,03500259,25.0,WHERE ARE THE SUPERNOVA REMNANTS AROUND YOUNG PULSARS?,2003
"SN, SNR AND ISOLATED NS",JOSEPH LAZIO,03500278,8.0,AN UNIDENTIFIED ULTRA-STEEP SPECTRUM SOURCE,2003
"SN, SNR AND ISOLATED NS",ILANA HARRUS,03500279,50.0,THE MYSTERY OF COMPOSITE SUPERNOVA REMNANTS: THE CASE OF MSH11-62,2003
"SN, SNR AND ISOLATED NS",Q. DANIEL WANG,03500282,50.0,"X-RAY SPECTROSCOPY OF SNR N157B, ITS PULSAR AND WIND NEBULA",2003
"SN, SNR AND ISOLATED NS",BRYAN GAENSLER,03500310,31.0,THE PULSAR-POWERED NEBULA IN G322.5-0.1,2003
"SN, SNR AND ISOLATED NS",PATRICK SLANE,03500339,60.0,AN ACIS STUDY OF THE HIGH LUMINOSITY SNR G349.7+0.2,2003
"SN, SNR AND ISOLATED NS",YANG CHEN,03500343,65.0,PROPOSAL FOR CHANDRA ACIS OBSERVATION OF THE THERMAL COMPOSITESNR 3C 391,2003
"SN, SNR AND ISOLATED NS",JULES HALPERN,03500351,100.0,IMAGING THE ENERGETIC PULSAR WIND NEBULA AROUND PSR J2229+6114,2003
"SN, SNR AND ISOLATED NS",CHRISTIAN MOTCH,03500363,80.0,ASTROMETRIC STUDY OF ISOLATED NEUTRON STARS,2003
"SN, SNR AND ISOLATED NS",ROGER ROMANI,03500389,50.0,IMAGING AND TIMING STUDIES OF THE VERY ENERGETIC PSR J1420-6048,2003
"SN, SNR AND ISOLATED NS",GIAN LUCA ISRAEL,03500393,20.0,CHANDRA OBSERVATIONS OF RXJ0806.3+1527: X-RAY STUDY OF A UNIQUEX-RAY PULSATOR,2003
"SN, SNR AND ISOLATED NS",ROGER ROMANI,03500402,20.0,PULSAR WIND TORI: NEUTRON STAR LINEAR AND ANGULAR MOMENTA,2003
"SN, SNR AND ISOLATED NS",ROBERT RUTLEDGE,03500415,50.0,BRIDGING THE GAP: DISCOVERING THE INTER-PULSE EMISSION IN PSRB1821-24,2003
"SN, SNR AND ISOLATED NS",FREDERICK SEWARD,03500419,20.0,SEARCH FOR THE OUTER SHELL OF THE CRAB NEBULA,2003
"SN, SNR AND ISOLATED NS",VYACHESLAV ZAVLIN,03500461,30.0,THE ENIGMATIC X-RAY PULSATOR IN THE PKS 1209-51/52 SUPERNOVAREMNANT,2003
"SN, SNR AND ISOLATED NS",VYACHESLAV ZAVLIN,03500523,30.0,PSR 0656+14 AND ITS PUTATIVE PULSAR-WIND NEBULA,2003
"SN, SNR AND ISOLATED NS",SHRINIVAS KULKARNI,03500538,250.0,A CHANDRA SURVEY FOR COMPACT OBJECTS IN SUPERNOVA REMNANTS,2003
"SN, SNR AND ISOLATED NS",LUIGI STELLA,03500604,60.0,SEARCHING FOR PROTON CYCLOTRON FEATURES IN TWO MAGNETARCANDIDATES,2003
"SN, SNR AND ISOLATED NS",GEORGE PAVLOV,03500622,160.0,THE DYNAMICAL PULSAR-WIND NEBULA IN THE VELA SNR,2003
"SN, SNR AND ISOLATED NS",TERRANCE GAETZ,03500712,120.0,BALMER-DOMINATED SHOCKS IN THE CYGNUS LOOP: PROBINGCOLLISIONLESS SHOCK PHYSICS,2003
"SN, SNR AND ISOLATED NS",GEORGE RICKER,03500721,60.0,"LOCALIZATION OF ""OPTICALLY-DARK"" GAMMA-RAY BURSTS BY CHANDRA ANDHST",2003
"SN, SNR AND ISOLATED NS",FREDERIK PAERELS,03500727,60.0,SOFT X-RAY SPECTROSCOPY OF A GAMMA-RAY BURST AFTERGLOW WITHCHANDRA,2003
"SN, SNR AND ISOLATED NS",YASUNOBU UCHIYAMA,03500728,30.0,FINE FLUOROSCOPY ON MOLECULAR CLUMPS OVERTAKEN BY SUPERNOVABLAST WAVE,2003
"SN, SNR AND ISOLATED NS",JEONGHEE RHO,03500756,90.0,RICH X-RAY STRUCTURES OF MIXED-MORPHOLOGY SNR W28 IN HARD ANDSOFT EMISSION,2003
"SN, SNR AND ISOLATED NS",ROSA WILLIAMS,03500759,52.4,THE TWO SHELLS OF DEM L 316,2003
"SN, SNR AND ISOLATED NS",SACHIKO TSURUTA,03500783,40.0,SPATIAL AND SPECTRAL STUDIES OF X-RAYS FROM PSR B1823-13 AND ITSCOMPACT NEBULA,2003
"SN, SNR AND ISOLATED NS",DAVID BURROWS,03500831,100.0,"THE RAPIDLY EVOLVING YOUNG SUPERNOVA REMNANT, SNR1987A",2003
"SN, SNR AND ISOLATED NS",SAMAR SAFI-HARB,03500856,60.0,USING CHANDRA TO UNVEIL THE NATURE OF AN INTRIGUINGPULSAR-SUPERNOVA REMNANT SYSTEM: PSR J1119-6127 AND G292.2-0.5,2003
"SN, SNR AND ISOLATED NS",BRYAN GAENSLER,03500270,35.0,BUILDING A BETTER MOUSE-TRAP: X-RAY IMAGING OF G359.23-0.92,2003
"SN, SNR AND ISOLATED NS",DEREK FOX,03508073,20.0,CHANDRA IDENTIFICATION OF THE X-RAY COUNTERPART OF GRB020127,2003
"SN, SNR AND ISOLATED NS",ERIC SCHLEGEL,03508074,75.0,AN EARLY OBSERVATION OF A NEARBY SUPERNOVA,2003
"SN, SNR AND ISOLATED NS",GEORGE RICKER,03508075,15.0,"LOCALIZATION OF ""OPTICALLY-DARK"" GAMMA-RAY BURSTS BY CHANDRA",2003
"SN, SNR AND ISOLATED NS",PETER WOODS,03508080,3.0,TOO OBSERVATIONS OF SGR 1900+14 IN AN UNUSUAL ACTIVE STATE,2003
"SN, SNR AND ISOLATED NS",DEREK FOX,03508087,20.0,CHANDRA ARCSECOND LOCALIZATION OF THE DARK BURST GRB020321,2003
"SN, SNR AND ISOLATED NS",ERIC SCHLEGEL,03508095,75.0,SN2001IG: DETECTING A MASS LOSS PHASE?,2003
"SN, SNR AND ISOLATED NS",DEREK FOX,03508096,30.0,CHANDRA ARCSECOND LOCALIZATION OF THE X-RAY FLASH XRF020427,2003
"SN, SNR AND ISOLATED NS",GEORGE RICKER,03508118,80.0,GRATING OBSERVATION OF GRB020813,2003
"SN, SNR AND ISOLATED NS",FIONA HARRISON,03508125,80.0,SPECTROSCOPIC OBSERVATIONS OF THE BRIGHT AFTERGLOW OF GRB021004,2003
"SN, SNR AND ISOLATED NS",WALTER LEWIN,03508128,30.0,PROMPT CHANDRA OBSERVATION OF THE TYPE II SN 2002HH,2003
"SN, SNR AND ISOLATED NS",WALTER LEWIN,03508129,10.0,PROMPT CHANDRA OBSERVATION OF THE TYPE IIN SN 2002HI,2003
"SN, SNR AND ISOLATED NS",MASAO SAKO,03508130,30.0,THE DECAYING X-RAY AFTERGLOW OF GRB021004,2003
NORMAL GALAXIES,CRAIG SARAZIN,03600029,36.0,RESOLVING THE X-RAY BINARY POPULATION IN EARLY-TYPE GALAXIES,2003
NORMAL GALAXIES,CRAIG SARAZIN,03600060,152.0,STELLAR MASS LOSS VERSUS EXTERNAL ACCRETION IN X-RAY BRIGHTELLIPTICALS,2003
NORMAL GALAXIES,STEPHEN MURRAY,03600067,45.0,NGC507  A GALAXY IN THE ACT OF MERGING,2003
NORMAL GALAXIES,CHRISTINE JONES,03600121,25.0,THE TRANSFORMATION OF GALAXIES IN CLUSTERS,2003
NORMAL GALAXIES,TREVOR PONMAN,03600177,30.0,ISOLATED ELLIPTICAL GALAXIES,2003
NORMAL GALAXIES,PHILIP KAARET,03600280,4.6,LUMINOUS NON-NUCLEAR X-RAY SOURCES IN NEARBY GALAXIES,2003
NORMAL GALAXIES,MICHAEL GARCIA,03600281,65.0,SEARCHING FOR X-RAY TRANSIENTS IN M31 WITH CHANDRA AND HST,2003
NORMAL GALAXIES,DAVID BUOTE,03600335,80.0,THE SHAPES OF DARK MATTER HALOS,2003
NORMAL GALAXIES,TIMOTHY ROBERTS,03600365,110.0,FURTHER PROBING THE NATURE OF SUPER-LUMINOUS X-RAY SOURCES INNEARBY GALAXIES,2003
NORMAL GALAXIES,HANS BOEHRINGER,03600360,20.0,STUDY OF THE ISM-STRIPPING PROCESS IN THE VIRGO SPIRAL NGC 4501(M88),2003
NORMAL GALAXIES,LAURENCE DAVID,03600404,46.0,THE DYNAMICS OF THE HOT ISM IN EARLY-TYPE GALAXIES,2003
NORMAL GALAXIES,ANDREW READ,03600427,50.0,NGC 520: AN ANOMALOUS GALAXY MERGER?,2003
NORMAL GALAXIES,ALLYN TENNANT,03600450,30.0,POPULATION STUDIES OF DWARF GALAXIES,2003
NORMAL GALAXIES,ANDREW PTAK,03600460,60.0,CHANDRA SURVEY OF GALAXIES WITH KNOWN BLACK HOLE MASSES,2003
NORMAL GALAXIES,DAVID STRICKLAND,03600504,50.0,RESOLVING THE ORIGIN OF X-RAY EMISSION IN A COMPLETE SAMPLE OFLOCAL STARBURST-DRIVEN SUPERWINDS,2003
